400017743702,1,336,,,4,123.28,,123.28
400121531082,1,319,,,3,48.68,,48.68
400017649276,0,13,2,5,8,209.33,24.71,49.04
400017730178,1,224,,,14,594.57,,594.57
400017741034,1,219,,,32,738.38,,738.38
400017720702,0,30,1,7,18,1589.95,237.97,1126.53
400017740022,1,333,,,6,50.30,,50.30
400017745634,1,336,,,2,174.61,,174.61
400017742782,1,338,,,1,42.62,,42.62
400017740206,1,334,,,2,167.86,,167.86
400017698237,1,338,,,1,27.65,,27.65
400017712773,1,313,,,6,104.96,,104.96
400017746186,1,335,,,3,38.64,,38.64
400017694741,0,25,1,12,18,1048.16,301.18,627.64
400017623148,0,11,1,6,6,162.33,59.29,73.65
400012037579,0,0,8,16,16,3045.20,1129.20,944.71
400015222791,0,8,2,,1,419.75,,114.86
400121478441,1,158,,,6,240.03,,240.03
400017643572,0,3,2,,14,130.98,,104.06
400121526942,1,333,,,4,79.49,,79.49
400017747382,1,337,,,2,5.39,,5.39
400121003510,0,7,1,,6,88.02,,65.56
400017732754,1,186,,,10,334.02,,334.02
400016966926,1,211,,,11,1915.42,,1915.42
400121498773,0,16,1,2,14,819.54,44.21,756.45
400017748210,1,334,,,2,41.25,,41.25
400017677353,1,284,,,10,528.98,,528.98
400010450815,1,336,,,1,17.99,,17.99
400017666129,1,310,,,5,205.50,,205.50
400017742414,1,334,,,3,12.46,,12.46
400017593064,1,259,,,5,231.68,,231.68
400121523998,1,333,,,3,288.63,,288.63
400013637039,1,304,,,3,115.03,,115.03
400017746094,1,335,,,1,87.12,,87.12
400017709277,1,195,,,4,118.11,,118.11
400017722726,0,15,1,,4,241.01,,156.58
400016101813,0,1,8,14,4,2942.80,593.09,265.96
400001792642,0,7,5,23,5,1832.37,766.01,362.74
400017747474,0,2,4,3,11,890.06,23.97,463.45
400017695753,0,4,2,5,11,585.89,97.78,317.45
400121389644,1,242,,,7,231.07,,231.07
400017039531,1,335,,,1,15.00,,15.00
400017745726,1,335,,,1,20.42,,20.42
400017706609,0,19,1,,3,278.62,,153.46
400017724382,0,60,,3,10,436.50,34.06,397.76
400016702818,1,107,,2,3,181.98,132.58,49.40
400017741770,1,333,,,2,117.33,,117.33
400016692330,1,276,,,4,153.27,,153.27
400004796672,1,334,,,1,11.43,,11.43
400002050310,0,54,,4,5,138.16,32.10,95.92
400017626828,1,334,,,1,25.83,,25.83
400121522894,1,333,,,2,14.10,,14.10
400017729718,1,243,,,4,38.18,,38.18
400017634832,1,273,,,5,215.15,,215.15
400017727970,0,21,1,3,5,519.34,64.67,323.03
400000926149,1,242,,,6,362.72,,362.72
400017463494,0,2,6,1,8,345.38,,203.01
400011896325,0,15,1,,9,320.00,,245.29
400121297426,1,326,,,6,102.32,,102.32
400017717482,1,155,,,11,190.33,,190.33
400121401604,1,116,,1,8,60.53,9.63,50.90
400017719690,0,19,4,2,6,1455.25,,938.42
400121371336,1,327,,,2,50.52,,50.52
400003195556,1,220,,,3,370.06,,370.06
400121474669,0,2,3,5,1,2392.01,1175.22,436.20
400121411172,1,307,,,6,102.27,,102.27
400017151253,1,324,,,2,19.06,,19.06
400014839802,0,57,,1,8,181.07,,158.20
400121445689,1,355,,,2,36.63,,36.63
400017712865,1,358,,,1,81.72,,81.72
400017651777,1,358,,,2,308.44,,308.44
400017709737,1,354,,,5,276.16,,276.16
400017709093,1,358,,,1,16.33,,16.33
400017707069,0,49,,1,4,146.48,,67.11
